dedupe_key,symbol,strategy_family,strategy_label,parameter_hash,run_count_before_dedupe,kept_run_id,dropped_run_ids,has_conflict_duplicates
RBLX::moving_average_crossover::ma-3-15::69374c13bf7522591efb43b570e65bdd31da3add,RBLX,moving_average_crossover,ma-3-15,69374c13bf7522591efb43b570e65bdd31da3add,2,RBLX-ma-3-15-20260412T075445-ma-3-15,['RBLX-ma-3-15-20260412T074902-ma-3-15'],False
RBLX::moving_average_crossover::ma-8-21::68876fc46f1bc740ab36d47876747c7ba2407011,RBLX,moving_average_crossover,ma-8-21,68876fc46f1bc740ab36d47876747c7ba2407011,2,RBLX-ma-8-21-20260412T075445-ma-8-21,['RBLX-ma-8-21-20260412T074902-ma-8-21'],False
RBLX::moving_average_crossover::ma-baseline::33bc22daf5108f93b692b8c7f7d6c24e9b9ee9e6,RBLX,moving_average_crossover,ma-baseline,33bc22daf5108f93b692b8c7f7d6c24e9b9ee9e6,2,RBLX-ma-baseline-20260412T075444-ma-baseline,['RBLX-ma-baseline-20260412T074901-ma-baseline'],False
RBLX::rsi_threshold::rsi-14-35-65::85f9b6d3e41d73d152f44383b094863ca64d0c83,RBLX,rsi_threshold,rsi-14-35-65,85f9b6d3e41d73d152f44383b094863ca64d0c83,2,RBLX-rsi-14-35-65-20260412T075446-rsi-14-35-65,['RBLX-rsi-14-35-65-20260412T074903-rsi-14-35-65'],False
RBLX::rsi_threshold::rsi-21-30-70::4dbe4870cef1a5db9953fc5af2742bde5104a63c,RBLX,rsi_threshold,rsi-21-30-70,4dbe4870cef1a5db9953fc5af2742bde5104a63c,2,RBLX-rsi-21-30-70-20260412T075446-rsi-21-30-70,['RBLX-rsi-21-30-70-20260412T074903-rsi-21-30-70'],False
RBLX::rsi_threshold::rsi-6-25-75::314f044a3bf4b4a0fc0db67d15c755c2afdbef55,RBLX,rsi_threshold,rsi-6-25-75,314f044a3bf4b4a0fc0db67d15c755c2afdbef55,2,RBLX-rsi-6-25-75-20260412T075446-rsi-6-25-75,['RBLX-rsi-6-25-75-20260412T074903-rsi-6-25-75'],False
RBLX::rsi_threshold::rsi-baseline::f7c06f158ab2eb36975772ca7503b4e1d278befd,RBLX,rsi_threshold,rsi-baseline,f7c06f158ab2eb36975772ca7503b4e1d278befd,2,RBLX-rsi-baseline-20260412T075446-rsi-baseline,['RBLX-rsi-baseline-20260412T074902-rsi-baseline'],False
SNDK::macd_crossover::macd-10-30-9::ecb8de5567887d0d5655ffc7418ad0e8a9b715ae,SNDK,macd_crossover,macd-10-30-9,ecb8de5567887d0d5655ffc7418ad0e8a9b715ae,2,SNDK-macd-10-30-9-20260412T075446-macd-10-30-9,['SNDK-macd-10-30-9-20260412T074904-macd-10-30-9'],False
SNDK::macd_crossover::macd-5-35-5::5cf7374800361e5fe1dd036e0afe65c9da0c4690,SNDK,macd_crossover,macd-5-35-5,5cf7374800361e5fe1dd036e0afe65c9da0c4690,2,SNDK-macd-5-35-5-20260412T075447-macd-5-35-5,['SNDK-macd-5-35-5-20260412T074904-macd-5-35-5'],False
SNDK::macd_crossover::macd-8-21-5::533530cf71e232d34ce704c3153f276e2cb4f8ec,SNDK,macd_crossover,macd-8-21-5,533530cf71e232d34ce704c3153f276e2cb4f8ec,2,SNDK-macd-8-21-5-20260412T075446-macd-8-21-5,['SNDK-macd-8-21-5-20260412T074904-macd-8-21-5'],False
SNDK::macd_crossover::macd-baseline::cc7f7d1c3dad2ebaf928756250404dc3b06d7200,SNDK,macd_crossover,macd-baseline,cc7f7d1c3dad2ebaf928756250404dc3b06d7200,2,SNDK-macd-baseline-20260412T075446-macd-baseline,['SNDK-macd-baseline-20260412T074904-macd-baseline'],False
SNDK::moving_average_crossover::ma-10-30::35be04e412c34f2580005e7e234e9d7b041634a8,SNDK,moving_average_crossover,ma-10-30,35be04e412c34f2580005e7e234e9d7b041634a8,2,SNDK-ma-10-30-20260412T075446-ma-10-30,['SNDK-ma-10-30-20260412T074903-ma-10-30'],False
SNDK::moving_average_crossover::ma-3-15::69374c13bf7522591efb43b570e65bdd31da3add,SNDK,moving_average_crossover,ma-3-15,69374c13bf7522591efb43b570e65bdd31da3add,2,SNDK-ma-3-15-20260412T075446-ma-3-15,['SNDK-ma-3-15-20260412T074903-ma-3-15'],False
SNDK::moving_average_crossover::ma-8-21::68876fc46f1bc740ab36d47876747c7ba2407011,SNDK,moving_average_crossover,ma-8-21,68876fc46f1bc740ab36d47876747c7ba2407011,2,SNDK-ma-8-21-20260412T075446-ma-8-21,['SNDK-ma-8-21-20260412T074903-ma-8-21'],False
SNDK::moving_average_crossover::ma-baseline::33bc22daf5108f93b692b8c7f7d6c24e9b9ee9e6,SNDK,moving_average_crossover,ma-baseline,33bc22daf5108f93b692b8c7f7d6c24e9b9ee9e6,2,SNDK-ma-baseline-20260412T075446-ma-baseline,['SNDK-ma-baseline-20260412T074903-ma-baseline'],False
SNDK::rsi_threshold::rsi-14-35-65::85f9b6d3e41d73d152f44383b094863ca64d0c83,SNDK,rsi_threshold,rsi-14-35-65,85f9b6d3e41d73d152f44383b094863ca64d0c83,2,SNDK-rsi-14-35-65-20260412T075446-rsi-14-35-65,['SNDK-rsi-14-35-65-20260412T074903-rsi-14-35-65'],False
SNDK::rsi_threshold::rsi-21-30-70::4dbe4870cef1a5db9953fc5af2742bde5104a63c,SNDK,rsi_threshold,rsi-21-30-70,4dbe4870cef1a5db9953fc5af2742bde5104a63c,2,SNDK-rsi-21-30-70-20260412T075446-rsi-21-30-70,['SNDK-rsi-21-30-70-20260412T074903-rsi-21-30-70'],False
SNDK::rsi_threshold::rsi-6-25-75::314f044a3bf4b4a0fc0db67d15c755c2afdbef55,SNDK,rsi_threshold,rsi-6-25-75,314f044a3bf4b4a0fc0db67d15c755c2afdbef55,2,SNDK-rsi-6-25-75-20260412T075446-rsi-6-25-75,['SNDK-rsi-6-25-75-20260412T074903-rsi-6-25-75'],False
SNDK::rsi_threshold::rsi-baseline::f7c06f158ab2eb36975772ca7503b4e1d278befd,SNDK,rsi_threshold,rsi-baseline,f7c06f158ab2eb36975772ca7503b4e1d278befd,2,SNDK-rsi-baseline-20260412T075446-rsi-baseline,['SNDK-rsi-baseline-20260412T074903-rsi-baseline'],False
TEM::macd_crossover::macd-10-30-9::ecb8de5567887d0d5655ffc7418ad0e8a9b715ae,TEM,macd_crossover,macd-10-30-9,ecb8de5567887d0d5655ffc7418ad0e8a9b715ae,2,TEM-macd-10-30-9-20260412T075447-macd-10-30-9,['TEM-macd-10-30-9-20260412T074904-macd-10-30-9'],False
TEM::macd_crossover::macd-5-35-5::5cf7374800361e5fe1dd036e0afe65c9da0c4690,TEM,macd_crossover,macd-5-35-5,5cf7374800361e5fe1dd036e0afe65c9da0c4690,2,TEM-macd-5-35-5-20260412T075447-macd-5-35-5,['TEM-macd-5-35-5-20260412T074904-macd-5-35-5'],False
TEM::macd_crossover::macd-8-21-5::533530cf71e232d34ce704c3153f276e2cb4f8ec,TEM,macd_crossover,macd-8-21-5,533530cf71e232d34ce704c3153f276e2cb4f8ec,2,TEM-macd-8-21-5-20260412T075447-macd-8-21-5,['TEM-macd-8-21-5-20260412T074904-macd-8-21-5'],False
TEM::macd_crossover::macd-baseline::cc7f7d1c3dad2ebaf928756250404dc3b06d7200,TEM,macd_crossover,macd-baseline,cc7f7d1c3dad2ebaf928756250404dc3b06d7200,2,TEM-macd-baseline-20260412T075447-macd-baseline,['TEM-macd-baseline-20260412T074904-macd-baseline'],False
TEM::moving_average_crossover::ma-10-30::35be04e412c34f2580005e7e234e9d7b041634a8,TEM,moving_average_crossover,ma-10-30,35be04e412c34f2580005e7e234e9d7b041634a8,2,TEM-ma-10-30-20260412T075446-ma-10-30,['TEM-ma-10-30-20260412T074904-ma-10-30'],False
TEM::moving_average_crossover::ma-3-15::69374c13bf7522591efb43b570e65bdd31da3add,TEM,moving_average_crossover,ma-3-15,69374c13bf7522591efb43b570e65bdd31da3add,2,TEM-ma-3-15-20260412T075446-ma-3-15,['TEM-ma-3-15-20260412T074903-ma-3-15'],False
TEM::moving_average_crossover::ma-8-21::68876fc46f1bc740ab36d47876747c7ba2407011,TEM,moving_average_crossover,ma-8-21,68876fc46f1bc740ab36d47876747c7ba2407011,2,TEM-ma-8-21-20260412T075446-ma-8-21,['TEM-ma-8-21-20260412T074903-ma-8-21'],False
