date,close,action,position,cash
2017-08-08,49.099998474121094,hold,0,99995.8399925232
2017-08-09,49.060001373291016,hold,0,99995.8399925232
2017-08-10,48.099998474121094,hold,0,99995.8399925232
2017-08-11,48.2400016784668,hold,0,99995.8399925232
2017-08-14,48.849998474121094,buy,1,99946.98999404907
2017-08-15,48.83000183105469,buy,2,99898.15999221802
2017-08-16,49.25,buy,3,99848.90999221802
2017-08-17,48.54999923706055,sell,0,99994.5599899292
2017-08-18,48.619998931884766,hold,0,99994.5599899292
2017-08-21,48.900001525878906,buy,1,99945.65998840332
2017-08-22,49.2599983215332,buy,2,99896.39999008179
2017-08-23,49.06999969482422,buy,3,99847.32999038696
2017-08-24,49.189998626708984,buy,4,99798.13999176025
2017-08-25,49.2400016784668,buy,5,99748.89999008179
2017-08-28,49.2400016784668,buy,6,99699.65998840332
2017-08-29,49.45000076293945,buy,7,99650.20998764038
2017-08-30,49.79999923706055,buy,8,99600.40998840332
2017-08-31,50.33000183105469,buy,9,99550.07998657227
2017-09-01,50.619998931884766,buy,10,99499.45998764038
2017-09-05,50.93000030517578,buy,11,99448.5299873352
2017-09-06,51.0099983215332,buy,12,99397.51998901367
2017-09-07,51.72999954223633,buy,13,99345.78998947144
2017-09-08,51.58000183105469,buy,14,99294.20998764038
2017-09-11,52.4900016784668,buy,15,99241.71998596191
2017-09-12,52.77000045776367,buy,16,99188.94998550415
2017-09-13,52.79999923706055,buy,17,99136.14998626709
2017-09-14,52.790000915527344,buy,18,99083.35998535156
2017-09-15,48.7400016784668,sell,0,99960.68001556396
2017-09-18,48.33000183105469,hold,0,99960.68001556396
2017-09-19,48.040000915527344,hold,0,99960.68001556396
2017-09-20,47.970001220703125,hold,0,99960.68001556396
2017-09-21,47.970001220703125,hold,0,99960.68001556396
2017-09-22,48.15999984741211,buy,1,99912.52001571655
2017-09-25,47.970001220703125,sell,0,99960.49001693726
2017-09-26,47.91999816894531,hold,0,99960.49001693726
2017-09-27,48.15999984741211,buy,1,99912.33001708984
2017-09-28,48.08000183105469,buy,2,99864.25001525879
2017-09-29,48.349998474121094,buy,3,99815.90001678467
2017-10-02,48.79999923706055,buy,4,99767.10001754761
2017-10-03,48.689998626708984,buy,5,99718.4100189209
2017-10-04,48.900001525878906,buy,6,99669.51001739502
2017-10-05,48.90999984741211,buy,7,99620.60001754761
2017-10-06,48.400001525878906,sell,0,99959.40002822876
2017-10-09,48.36000061035156,hold,0,99959.40002822876
2017-10-10,48.209999084472656,hold,0,99959.40002822876
2017-10-11,48.279998779296875,hold,0,99959.40002822876
2017-10-12,48.22999954223633,hold,0,99959.40002822876
2017-10-13,48.61000061035156,buy,1,99910.79002761841
2017-10-16,48.86000061035156,buy,2,99861.93002700806
2017-10-17,49.189998626708984,buy,3,99812.74002838135
2017-10-18,49.58000183105469,buy,4,99763.1600265503
2017-10-19,49.349998474121094,buy,5,99713.81002807617
2017-10-20,49.25,buy,6,99664.56002807617
2017-10-23,49.310001373291016,sell,0,99960.42003631592
2017-10-24,49.97999954223633,buy,1,99910.44003677368
2017-10-25,49.70000076293945,buy,2,99860.74003601074
2017-10-26,50.150001525878906,buy,3,99810.59003448486
2017-10-27,50.880001068115234,buy,4,99759.71003341675
2017-10-30,50.68000030517578,buy,5,99709.03003311157
2017-10-31,50.900001525878906,buy,6,99658.1300315857
2017-11-01,50.63999938964844,sell,0,99961.97002792358
2017-11-02,50.279998779296875,hold,0,99961.97002792358
2017-11-03,50.18000030517578,hold,0,99961.97002792358
2017-11-06,50.400001525878906,hold,0,99961.97002792358
2017-11-07,50.4900016784668,buy,1,99911.48002624512
2017-11-08,50.540000915527344,buy,2,99860.94002532959
2017-11-09,49.2400016784668,sell,0,99959.42002868652
2017-11-10,49.31999969482422,hold,0,99959.42002868652
2017-11-13,49.400001525878906,hold,0,99959.42002868652
2017-11-14,49.20000076293945,hold,0,99959.42002868652
2017-11-15,48.81999969482422,hold,0,99959.42002868652
2017-11-16,49.20000076293945,buy,1,99910.22002792358
2017-11-17,48.939998626708984,sell,0,99959.1600265503
2017-11-20,49.02000045776367,hold,0,99959.1600265503
2017-11-21,48.630001068115234,hold,0,99959.1600265503
2017-11-22,48.58000183105469,hold,0,99959.1600265503
2017-11-24,49.0099983215332,buy,1,99910.15002822876
2017-11-27,48.880001068115234,buy,2,99861.27002716064
2017-11-28,49.0099983215332,buy,3,99812.26002883911
2017-11-29,48.52000045776367,sell,0,99957.8200302124
2017-11-30,49.060001373291016,buy,1,99908.76002883911
2017-12-01,49.61000061035156,buy,2,99859.15002822876
2017-12-04,48.400001525878906,sell,0,99955.95003128052
2017-12-05,47.9900016784668,hold,0,99955.95003128052
2017-12-06,48.41999816894531,hold,0,99955.95003128052
2017-12-07,48.52000045776367,hold,0,99955.95003128052
2017-12-08,49.599998474121094,buy,1,99906.3500328064
2017-12-11,50.470001220703125,buy,2,99855.8800315857
2017-12-12,50.38999938964844,buy,3,99805.49003219604
2017-12-13,50.04999923706055,buy,4,99755.44003295898
2017-12-14,50.189998626708984,buy,5,99705.25003433228
2017-12-15,48.29999923706055,sell,0,99946.75003051758
2017-12-18,47.709999084472656,hold,0,99946.75003051758
2017-12-19,47.81999969482422,hold,0,99946.75003051758
2017-12-20,47.900001525878906,hold,0,99946.75003051758
2017-12-21,47.279998779296875,hold,0,99946.75003051758
2017-12-22,47.36000061035156,hold,0,99946.75003051758
2017-12-26,47.43000030517578,hold,0,99946.75003051758
2017-12-27,47.380001068115234,hold,0,99946.75003051758
2017-12-28,47.52000045776367,buy,1,99899.23003005981
2017-12-29,47.279998779296875,sell,0,99946.51002883911
2018-01-02,46.630001068115234,hold,0,99946.51002883911
